Sample,X(ms) [01.01.2012 00:40:29 721 UTC],"InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.x","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.y","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.a","frontPGV.xPosition","InstAGV.instMoveCtrlDiff.vCurrent.x","InstAGV.instMoveCtrlDiff.vCurrent.a"
4018,1325378469911.349480,0,8,-0.20001220703125,4037.6,297.524719238281,0.16818180680275
4019,1325378469921.358808,0,7.90000009536743,-0.20001220703125,4040.6,297.642120361328,0.0420454517006874
4020,1325378469931.440040,0,7.90000009536743,-0.79998779296875,4043.2,299.051086425781,0.126136362552643
4021,1325378469941.408176,0,7.90000009536743,-0.79998779296875,4046.1,298.581420898438,0.294318199157715
4022,1325378469951.421584,0,7.90000009536743,-0.899993896484375,4049.1,298.229187011719,-0.0840909034013748
4023,1325378469961.470264,0,7.80000019073486,-0.899993896484375,4052,299.051086425781,-0.630681753158569
4024,1325378469975.036016,0,7.90000009536743,-0.600006103515625,4055.3,297.172485351563,-0.630681753158569
4025,1325378469981.389816,0,7.90000009536743,-0.600006103515625,4058.3,297.642120361328,0.546590864658356
4026,1325378469991.377760,0,7.90000009536743,-0.600006103515625,4061.3,297.642120361328,0.546590864658356
4027,1325378470001.391168,0,7.80000019073486,-0.600006103515625,4064.2,301.281921386719,0
4028,1325378470011.340352,0,7.90000009536743,-0.399993896484375,4066.7,301.986419677734,0.252272725105286
4029,1325378470021.374520,0,7.90000009536743,-0.399993896484375,4069.7,303.982421875,-1.13522732257843
4030,1325378470031.325120,0,7.90000009536743,-0.399993896484375,4072.6,300.577453613281,0.252272725105286
4031,1325378470041.455480,0,7.80000019073486,-0.399993896484375,4075.6,304.217254638672,-0.378409117460251
4032,1325378470051.407376,0,7.69999980926514,-0.79998779296875,4078.6,304.217254638672,-0.378409117460251
4033,1325378470061.378960,0,7.69999980926514,-0.79998779296875,4081.5,301.634155273438,-0.378409117460251
4034,1325378470075.069328,0,7.59999990463257,-0.79998779296875,4084.4,300.225219726563,-0.210227265954018
4035,1325378470081.392280,0,7.59999990463257,-0.79998779296875,4087.4,298.933654785156,-0.420454531908035
4036,1325378470091.426520,0,7.80000019073486,-0.399993896484375,4091.4,298.933654785156,-0.420454531908035
4037,1325378470101.410608,0,7.80000019073486,-0.399993896484375,4094.4,299.285919189453,-0.630681753158569
4038,1325378470111.409376,0,7.80000019073486,-0.399993896484375,4097.4,299.051086425781,-0.546590864658356
4039,1325378470121.350112,0,7.80000019073486,-0.399993896484375,4100.3,299.051086425781,-0.546590864658356
4040,1325378470131.362728,0,8,-0.79998779296875,4102.5,299.872985839844,-0.756818234920502
4041,1325378470141.309304,0,8,-0.79998779296875,4105.4,297.524719238281,-0.672727227210999
4042,1325378470151.375288,0,8,-0.79998779296875,4108.4,299.051086425781,-0.8829545378685
4043,1325378470161.475304,0,8,-0.899993896484375,4111.3,299.285919189453,-1.05113637447357
4044,1325378470175.086568,0,8,0,4114.7,295.763519287109,0.294318199157715
4045,1325378470181.349424,0,8,0,4117.6,295.763519287109,0.294318199157715
4046,1325378470191.308936,0,8,0,4120.6,296.820220947266,-0.336363613605499
4047,1325378470201.377088,0,8,0,4123.6,300.577453613281,0.16818180680275
4048,1325378470211.426640,0,8.19999980926514,-0.399993896484375,4126.1,298.698852539063,-0.252272725105286
4049,1325378470221.388856,0,8.19999980926514,-0.399993896484375,4129.1,298.698852539063,-0.252272725105286
4050,1325378470231.389264,0,8.19999980926514,-0.399993896484375,4132,301.047088623047,0.420454531908035
4051,1325378470241.437816,0,8.19999980926514,-0.399993896484375,4134.9,301.047088623047,0.420454531908035
4052,1325378470251.357680,0,8.30000019073486,-1,4137.7,301.047088623047,-0.420454531908035
4053,1325378470261.405688,0,8.30000019073486,-1,4140.6,300.342620849609,0.504545450210571
4054,1325378470275.116200,0,8.30000019073486,-1.10000610351563,4143.6,303.043121337891,-0.378409117460251
4055,1325378470281.524736,0,8.30000019073486,-1.10000610351563,4146.5,304.217254638672,-0.294318199157715
4056,1325378470291.473288,0,8.30000019073486,-0.399993896484375,4149.8,304.217254638672,-0.294318199157715
4057,1325378470301.428464,0,8.30000019073486,-0.399993896484375,4152.8,304.217254638672,-0.294318199157715
4058,1325378470311.420944,0,8.30000019073486,-0.399993896484375,4155.7,301.986419677734,0.672727227210999
4059,1325378470321.406080,0,8.30000019073486,-0.399993896484375,4158.7,303.747589111328,-0.210227265954018
4060,1325378470331.316976,0,8.30000019073486,-0.600006103515625,4161.7,303.160522460938,-0.58863639831543
4061,1325378470341.342192,0,8.30000019073486,-0.600006103515625,4164.7,308.209289550781,-1.89204549789429
4062,1325378470351.427272,0,8.30000019073486,-0.600006103515625,4167.6,305.978454589844,0.756818234920502
4063,1325378470361.379872,0,8.30000019073486,-0.600006103515625,4170.6,305.978454589844,0.756818234920502
4064,1325378470375.089728,0,8.19999980926514,-0.399993896484375,4174.4,295.293853759766,0.967045426368713
4065,1325378470381.357208,0,8.19999980926514,-0.399993896484375,4177.4,292.475952148438,0.126136362552643
4066,1325378470391.327392,0,8.19999980926514,-0.399993896484375,4180.3,292.475952148438,0.126136362552643
4067,1325378470401.437080,0,8.19999980926514,-0.399993896484375,4183.3,284.374450683594,1.84999990463257
4068,1325378470411.358320,0,8.19999980926514,-0.399993896484375,4187.1,284.491851806641,2.90113639831543
4069,1325378470421.407280,0,8.19999980926514,-0.399993896484375,4190.1,285.196350097656,1.97613608837128
4070,1325378470431.568384,0,8.19999980926514,-0.399993896484375,4193.1,294.471984863281,-0.672727227210999
